SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,Neighborhood,LotArea,KitchenQual
97000,5,882,1,0,1956,17,12702,0
176000,6,1382,2,1362,1962,12,19296,0
276000,8,2574,3,1482,2007,5,9588,2
151000,6,1212,2,506,1977,18,8471,0
130000,5,1316,2,926,1929,17,5500,0
73000,5,764,2,680,1925,17,5232,0
175500,6,1422,2,1422,1981,16,12090,1
185000,6,1511,2,802,1997,8,11207,0
179500,5,2192,1,720,1939,22,8400,1
120500,5,778,1,740,1940,9,6900,0
148000,6,1113,1,1143,1976,7,7917,0
266000,8,1939,3,1095,2006,20,10728,1
241500,7,1363,2,1385,1954,4,39104,0
290000,8,2270,3,1152,1999,13,11764,1
139000,6,1632,1,1240,1958,12,9600,0
124500,5,816,1,816,1982,11,8314,0
205000,7,1548,2,952,1925,3,7264,2
201000,7,1560,2,1560,2003,11,9196,1
141000,4,864,2,864,1951,8,19138,0
415298,9,2121,3,2121,2006,15,14450,2
192000,7,2022,2,1160,1977,4,10005,0
228500,7,1982,2,807,1989,19,11287,1
185000,6,1262,2,1262,2006,20,7200,1
207500,7,1314,2,1314,2007,15,5063,1
244600,8,1468,3,1468,2008,20,9612,1
179200,6,1575,2,1575,1992,19,8012,1
164700,7,1250,2,625,2006,20,4251,1
159000,6,1734,2,912,1962,12,9786,1
88000,4,858,0,858,1971,12,8125,0
122000,5,900,1,882,1967,18,9819,0
153575,6,1396,1,698,1915,3,8730,0
233230,8,1919,2,1079,2006,5,15611,1
135900,5,1716,0,780,1912,22,5687,3
131000,5,1716,1,768,1949,7,11409,0
235000,7,2263,2,795,1977,16,16659,1
167000,6,1644,2,1416,1953,12,9600,0
142500,6,1003,2,1003,1984,11,7937,0
152000,5,1558,1,910,1950,9,13710,0
239000,7,1950,2,975,1997,20,7399,1
175000,6,1743,2,702,1968,16,11700,0
158500,6,1152,1,1092,1950,6,14000,1
157000,5,1336,1,1165,1953,6,15750,0
267000,8,2452,2,1028,1998,5,16226,1
205000,7,1541,3,1541,2001,5,13704,1
149900,5,894,2,894,1972,5,9800,0
295000,7,3493,3,1470,1880,17,18386,1
305900,8,2000,3,2000,2004,5,10386,1
225000,7,2243,3,700,1990,19,13474,1
89500,6,1406,0,319,1920,9,7920,3
82500,4,861,2,861,1940,7,12342,0
360000,9,1944,3,1896,2003,15,12378,2
165600,6,1501,2,697,1993,8,7685,1
132000,6,972,1,972,1948,12,8000,0
119900,5,1118,2,793,1939,17,7800,0
375000,7,2036,2,2136,1965,23,215245,0
178000,7,1641,2,728,1925,17,9600,2
188500,7,1432,2,716,2004,8,7795,1
260000,7,2353,2,845,1980,16,13005,2
270000,8,1959,3,1088,2006,20,9000,1
260000,7,2646,3,1347,1993,13,9900,1
187500,7,1472,2,1372,1980,16,14115,0
342643,9,2596,3,1249,2006,15,16259,1
354000,8,2468,3,1136,2004,15,12099,1
301000,7,2730,2,1502,1986,19,10380,1
126175,3,1163,1,1162,1955,17,5820,0
242000,7,2978,2,710,1967,12,11275,1
87000,5,803,2,720,1941,9,5000,0
324000,8,1719,2,1719,1993,24,10846,1
145250,6,1383,1,1383,1960,12,11600,0
214500,6,2134,2,844,1916,3,11888,1
78000,5,1192,1,596,1920,9,6402,0
119000,5,1728,1,1728,1964,12,10624,0
139000,5,1056,1,1056,1958,12,8176,0
284000,8,1629,3,3206,2003,15,10655,1
207000,7,1358,2,1358,2004,15,8198,1
192000,6,1638,2,943,1998,8,9042,0
228950,5,1786,2,1499,1965,23,164660,0
377426,9,1922,3,1922,2005,21,14157,1
214000,7,1536,2,1536,2002,5,9135,1
202500,7,1621,2,1208,1984,16,14145,1
155000,6,1215,1,1215,1958,12,12400,0
202900,8,1908,2,967,2002,23,14191,1
82000,4,841,1,721,1950,19,8400,0
87500,3,1040,2,0,1949,12,8544,0
266000,9,1684,2,1684,2005,15,8849,2
85000,5,1112,1,536,1976,10,2592,0
140200,6,1577,1,972,1939,3,6435,3
151500,6,958,1,958,1960,12,12772,0
157500,6,1478,2,1478,1960,12,17600,0
154000,7,1626,2,764,2003,15,2448,1
437154,9,2728,3,1848,2005,15,20431,2
318061,9,1869,2,1869,2007,15,7820,2
190000,7,1453,2,1453,1986,4,5271,1
95000,5,1111,1,616,1941,7,9084,0
105900,6,720,2,624,1928,17,8520,0
140000,6,1595,1,940,1940,22,8400,0
177500,6,1200,2,1200,1995,5,11249,1
173000,6,1167,2,1158,1992,8,9248,1
134000,5,1142,2,1142,1976,10,4224,0
130000,5,1352,1,1062,1958,4,6930,1
280000,8,1924,2,1086,1998,13,12011,1
156000,6,912,2,888,1978,11,7540,0
145000,5,1505,1,883,1940,3,9144,0
198500,7,1922,2,0,2003,7,7301,1
118000,6,987,1,483,1972,2,1680,1
190000,6,1574,2,796,1976,16,18800,0
147000,5,1344,1,672,1920,9,10690,0
159000,6,1394,2,1394,1963,12,9500,0
165000,6,1431,1,1099,1962,12,9150,0
132000,5,1268,1,1268,1954,12,7800,0
162000,5,1287,2,1063,1959,12,9830,1
172400,6,1664,2,953,2000,8,8121,0
134432,4,1588,2,0,1959,4,17120,0
125000,6,752,1,744,1984,19,7175,0
123000,5,1319,1,608,1953,12,10634,0
219500,7,1928,2,847,2003,5,8200,1
61000,1,904,0,683,1922,7,10020,3
148000,5,914,2,870,1996,5,8846,0
340000,8,2466,2,1580,2004,20,11143,1
394432,9,1856,3,1856,2010,21,11394,2
179000,6,1800,2,982,2000,8,8123,0
127000,5,1691,1,1026,1924,22,5000,1
187750,7,1301,2,1293,2006,20,7200,1
213500,7,1797,2,939,2006,5,9245,1
76000,6,784,2,784,1928,19,9000,0
240000,6,1953,2,1580,1992,4,53107,1
192000,8,1269,2,1256,2004,0,3182,1
81000,5,1184,0,658,1910,7,8410,0
125000,6,1125,1,1041,1976,7,7200,0
191000,7,1479,2,1468,1999,5,9382,1
426000,10,2332,3,1682,2007,15,12474,2
119000,5,1367,1,861,1900,7,8405,0
215000,6,1961,2,804,2001,11,12209,1
106500,5,882,1,0,1959,12,8339,0
100000,4,788,0,788,1941,3,7446,0
109000,5,1034,1,735,1940,17,10134,0
129000,5,1144,1,1144,1956,7,9571,0
123000,5,894,2,894,1972,5,7200,0
169500,5,1812,1,864,1962,12,7590,0
67000,5,1077,1,961,1920,9,8967,0
241000,7,1550,2,1092,2006,20,8125,1
245500,8,1288,2,1260,1996,24,14963,2
164990,7,1310,2,1310,2005,5,8767,1
108000,5,672,1,672,1940,18,10200,0
258000,8,2263,2,1141,1998,13,12090,1
168000,6,1572,2,806,1995,8,10364,0
150000,4,1620,2,1281,1976,18,9991,0
115000,6,1639,1,1064,1936,22,10480,0
177000,6,1680,1,840,1915,6,15576,0
280000,7,2172,3,1063,2006,15,14154,1
339750,8,2078,3,1034,2007,20,10800,2
60000,5,1276,1,1276,1958,7,9571,0
145000,5,1056,2,1056,1955,8,34650,0
222000,7,1478,2,1470,2009,20,4403,1
115000,5,1028,2,1008,1927,17,8960,0
228000,7,2097,3,1080,1993,19,11228,1
181134,7,1340,2,1340,2007,8,8899,1
149500,6,1400,2,672,1978,18,7844,0
239000,6,2624,3,1370,1918,6,22420,0
126000,5,1134,1,756,1940,7,8160,0
142000,5,1056,1,1056,1968,12,8450,0
206300,7,1344,4,1344,1997,11,7060,0
215000,6,1602,2,1602,1977,16,16635,1
113000,5,988,2,988,1954,11,21750,0
315000,8,2630,3,1470,1998,13,9200,1
139000,6,1196,1,1196,1956,12,9000,0
135000,7,1389,1,651,1946,17,3378,0
275000,7,1644,2,1518,1989,19,12800,1
109008,4,907,1,907,1957,12,8593,0
195400,7,1208,2,1208,2007,5,6762,1
175000,6,1412,2,1392,1988,23,11457,1
85400,6,987,1,483,1971,2,1680,0
79900,6,1198,0,901,1920,17,5586,0
122500,5,1365,2,765,1971,2,1920,0
181000,6,1604,2,926,1997,8,10839,0
81000,4,630,0,630,1972,10,1890,0
212000,7,1661,2,799,1996,5,10667,1
116000,6,1118,2,648,1920,17,4400,0
119000,6,904,1,884,1926,3,6000,0
90350,5,694,1,440,1913,6,4280,1
110000,6,1196,2,684,1920,7,12354,1
555000,10,2402,3,3094,2008,15,15431,2
118000,4,1440,0,1440,1955,7,12108,3
162900,5,1573,2,1078,1930,3,6240,0
172500,7,1258,3,1258,2006,0,3922,1
210000,7,1908,2,915,1994,5,8750,1
127500,6,1689,2,1436,1956,7,9855,0
190000,6,1888,2,1517,1966,12,16492,1
199900,7,1886,2,930,1998,8,11214,1
119500,6,1376,1,780,1937,9,8600,0
120000,3,1183,1,649,1948,17,6000,0
110000,6,813,1,813,1930,17,5684,1
280000,7,1533,2,1533,1975,4,70761,1
204000,6,1756,2,872,1996,23,9303,0
210000,8,1590,2,768,2008,20,9000,1
188000,5,1728,2,1728,1976,11,9297,0
175500,7,1242,2,1242,1973,16,9600,0
98000,5,1344,3,624,1916,17,4571,0
256000,4,1663,2,1364,1954,4,53227,1
161000,8,1666,1,588,1925,17,5100,1
110000,5,1203,1,709,1950,3,7015,1
263435,8,1935,2,832,2009,20,8004,0
155000,7,1135,2,560,1936,22,7200,1
62383,5,864,1,864,1965,18,8281,0
188700,6,1660,1,715,1934,6,11988,0
124000,5,1040,0,1040,1978,5,8430,0
178740,7,1414,2,1375,2004,0,3072,1
167000,7,1277,2,1277,1970,12,10628,0
146500,5,1644,1,728,1942,12,9480,1
250000,8,1634,3,1626,2006,15,11428,1
187000,6,1710,2,832,1993,19,9291,1
212000,8,1502,2,1488,1985,21,6820,1
190000,7,1969,2,808,1977,16,11952,0
148000,6,1072,2,547,2005,7,3675,0
440000,8,1976,3,1976,2006,15,14977,1
251000,8,1652,2,1494,2000,21,5330,2
132500,5,970,2,970,1963,18,8480,0
208900,6,1493,2,1478,1997,5,13125,1
380000,9,2643,3,2153,2006,15,13693,2
297000,8,1718,3,1705,2007,5,10637,1
89471,4,1131,2,907,1937,17,5925,0
326000,9,1850,3,1833,2004,15,16033,1
374000,9,1792,3,1792,2003,15,11846,2
155000,7,1826,1,910,1915,17,2500,2
164000,6,1216,2,1216,1998,11,4500,0
132500,5,999,1,999,1962,18,7758,1
147000,5,1113,1,1113,1950,12,9600,1
156000,5,1073,2,1073,1965,12,10289,0
175000,5,1484,2,1484,1971,16,12243,0
160000,5,2414,2,954,1900,17,10800,0
86000,4,630,1,630,1970,10,1526,1
115000,5,1304,1,264,1976,10,2665,0
133000,6,1578,1,806,1941,12,9490,3
172785,6,1456,2,728,2006,8,15578,0
155000,5,1269,1,1269,1960,12,7931,0
91300,5,886,1,190,1938,17,5784,0
34900,4,720,0,720,1920,9,7879,0
430000,8,3228,2,3200,1992,13,12692,1
184000,7,1820,1,1026,1925,3,9120,0
130000,5,899,1,864,1967,18,7800,1
120000,5,912,1,912,1958,12,7535,0
113000,6,1218,1,672,1973,2,1890,0
226700,7,1768,2,866,2005,20,9803,1
140000,5,1214,2,1214,1965,7,9170,0
289000,7,1801,2,1501,1959,6,15602,0
147000,6,1322,2,855,1974,14,2308,0
124500,5,1960,2,960,1952,17,7596,0
215000,8,1911,2,777,1993,19,9554,1
208300,6,1218,2,1218,2009,20,7862,1
161000,7,1378,2,689,1928,17,9600,1
124500,5,1041,1,1041,1959,12,9600,0
164900,5,1363,1,1008,1951,12,14559,0
202665,7,1368,2,1368,2005,15,6792,1
129900,5,864,2,864,1958,12,9100,0
134000,6,1080,2,1084,1983,11,9187,0
96500,5,789,1,768,1926,6,10594,0
402861,10,2020,3,2006,2009,15,12220,2
158000,6,2119,2,689,1972,16,10448,0
265000,7,2344,3,1264,1996,13,10208,1
211000,6,1796,2,794,1998,5,9531,0
234000,7,2080,1,1276,1926,6,10918,1
106250,4,1294,0,0,1900,17,10800,0
150000,6,1244,1,1244,1957,12,11988,0
159000,6,1664,2,1004,1947,3,5000,0
184750,10,4676,3,3138,2007,7,40094,2
315750,7,2398,3,1379,1996,13,11787,1
176000,7,1266,2,1257,2005,20,7500,1
132000,5,928,1,928,1956,12,13300,0
446261,9,2713,3,1452,2008,15,14948,2
86000,4,605,0,528,1920,7,9098,0
200624,6,2515,2,2035,1957,6,32668,0
175000,6,1509,2,1461,1988,23,10200,1
128000,6,1362,2,611,1920,3,6155,0
107500,5,827,1,0,1955,12,7200,0
39300,1,334,0,0,1946,3,5000,3
178000,8,1414,2,707,2004,8,9056,1
107500,5,1347,0,1117,1910,7,7000,0
188000,7,1724,2,880,1998,5,8924,1
111250,4,864,2,864,1972,12,12735,0
158000,5,1159,1,1051,1968,18,11553,0
272000,8,1601,2,1581,2001,5,11423,1
315000,9,1838,3,1838,2006,23,14601,2
248000,8,2285,3,969,2000,13,11000,1
213250,7,1680,2,1650,1998,16,10140,1
133000,7,767,1,723,1998,12,4058,0
179665,7,1496,2,654,2006,8,17104,1
229000,7,2183,3,1204,1988,16,13837,1
210000,6,1635,2,1065,1923,3,8737,0
129500,5,768,2,768,1970,11,7244,0
125000,5,825,2,825,1955,17,8235,0
263000,7,2094,2,912,2003,20,9375,1
140000,6,1069,2,1069,1977,14,4043,0
112500,5,928,1,928,1957,17,6000,0
255500,8,1717,3,1709,2006,15,11146,1
108000,4,1126,2,0,1949,7,8777,1
284000,7,2046,3,998,2003,15,10625,1
113000,5,1048,1,993,1922,3,6380,0
141000,5,1092,1,1092,1957,12,14850,0
108000,4,1336,1,637,1920,9,11040,0
175000,7,1446,2,729,1996,8,21872,0
234000,7,1557,2,1374,2003,0,3196,1
121500,5,1392,2,1392,1957,18,11341,0
170000,5,1389,2,1389,1974,11,10010,0
108000,5,996,0,996,1940,7,13907,0
185000,6,1674,2,1163,1918,7,21780,0
268000,7,2295,2,1095,1992,13,13346,1
128000,6,1647,1,806,1915,22,6858,3
325000,9,2504,3,1122,2005,21,11198,2
214000,7,1535,2,1517,2004,15,10171,1
316600,8,2132,2,1496,1983,19,12327,1
135960,5,943,2,943,1979,12,7032,0
142600,5,1728,2,1728,1965,12,13101,0
120000,6,864,1,864,1959,12,7332,1
224500,7,1692,2,846,2009,23,13159,1
170000,7,1430,2,384,2000,8,9967,0
139000,5,1109,1,372,1971,12,10500,0
118500,5,1216,1,832,1947,12,8480,0
145000,7,1477,1,861,1928,22,6292,0
164500,5,1320,2,1164,1966,18,11777,0
146000,7,1392,2,689,2007,20,3604,1
131500,5,1795,1,1050,1954,17,12150,0
181900,6,1429,2,1144,1960,12,14585,1
253293,8,2042,3,2042,2008,15,12704,2
118500,6,816,0,816,1990,7,11841,0
325000,10,2775,2,1237,1893,17,13500,1
133000,4,1573,1,884,1935,3,6120,1
369900,8,2028,3,1868,2005,23,11443,1
130000,6,838,1,816,1918,3,10267,3
137000,5,860,2,840,1982,18,8740,0
143000,5,1473,1,1437,1968,4,25095,2
79500,5,935,1,742,1930,3,9100,0
185900,7,1582,2,770,2004,5,8320,1
451950,10,2296,3,1722,2008,15,13478,2
138000,5,816,2,816,1982,11,6600,0
140000,6,848,2,848,2003,5,4435,1
110000,5,924,1,924,1975,5,7990,0
319000,8,1826,3,1814,2005,21,11302,1
114504,6,1368,1,684,1910,17,3600,0
194201,7,1402,3,1258,2006,0,3922,1
217500,5,1647,2,1430,1977,6,12984,1
151000,6,1556,2,716,1980,1,1950,0
275000,8,1904,2,1058,2005,15,10927,2
141000,6,1375,1,780,1937,9,9000,1
220000,8,1915,2,908,1992,19,10041,1
151000,7,1200,2,600,2004,20,3182,1
221000,7,1494,2,1494,2002,5,12803,1
205000,7,1986,2,768,1965,12,13600,0
152000,5,1040,2,1040,1996,5,12464,1
225000,5,2008,1,896,1948,7,7800,2
359100,8,3194,2,965,1934,6,12168,0
118500,4,1029,1,1029,1961,18,7943,0
313000,9,2153,3,1440,2000,5,11050,2
148000,6,1032,2,1032,1978,16,10395,0
261500,8,1872,2,1299,2001,5,11885,2
147000,5,1120,0,1120,2007,11,8402,0
75500,4,630,0,630,1972,10,1491,0
137500,6,1054,2,936,1963,12,8800,1
183200,6,1509,2,783,2002,8,7861,1
105500,6,832,2,832,1954,12,7227,1
314813,9,1828,3,1822,2007,15,11694,1
305000,8,2262,3,1482,2003,23,12244,1
67000,3,864,0,864,1914,7,8248,0
